INFO   | jvm 1    | 2017/05/11 10:51:49 | James Mail Server 2.3.2
INFO   | jvm 1    | 2017/05/11 10:51:49 | Remote Manager Service started plain:4555
INFO   | jvm 1    | 2017/05/11 10:51:49 | POP3 Service started plain:110
INFO   | jvm 1    | 2017/05/11 10:51:49 | SMTP Service started plain:25
INFO   | jvm 1    | 2017/05/11 10:51:49 | NNTP Service started plain:119
INFO   | jvm 1    | 2017/05/11 10:51:49 | FetchMail Disabled
INFO   | jvm 1    | 2017/05/11 18:15:35 | Shutting down Phoenix.
INFO   | jvm 1    | 2017/05/11 18:15:37 | org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleException: Component named "thread-manager" failed to pass through the Destruction stage. (Reason: java.lang.IllegalThreadStateException).
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleHelper.fail(LifecycleHelper.java:354)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleHelper.shutdown(LifecycleHelper.java:288)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.components.application.DefaultApplication.shutdown(DefaultApplication.java:566)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.components.application.DefaultApplication.doRunPhase(DefaultApplication.java:482)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.components.application.DefaultApplication.runPhase(DefaultApplication.java:409)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.components.application.DefaultApplication.stop(DefaultApplication.java:233)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.framework.container.ContainerUtil.stop(ContainerUtil.java:292)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.framework.container.ContainerUtil.shutdown(ContainerUtil.java:66)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.components.kernel.DefaultKernel.shutdown(DefaultKernel.java:346)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.components.kernel.DefaultKernel.removeApplication(DefaultKernel.java:455)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.components.deployer.DefaultDeployer.undeploy(DefaultDeployer.java:244)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.components.deployer.DefaultDeployer.dispose(DefaultDeployer.java:154)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.framework.container.ContainerUtil.dispose(ContainerUtil.java:306)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.framework.container.ContainerUtil.shutdown(ContainerUtil.java:67)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.components.embeddor.DefaultEmbeddor.shutdownComponents(DefaultEmbeddor.java:598)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.components.embeddor.DefaultEmbeddor.dispose(DefaultEmbeddor.java:342)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.framework.container.ContainerUtil.dispose(ContainerUtil.java:306)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.framework.container.ContainerUtil.shutdown(ContainerUtil.java:67)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.frontends.CLIMain.shutdown(CLIMain.java:326)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at java.lang.reflect.Method.invoke(Method.java:606)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.launcher.Main.shutdown(Main.java:165)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.launcher.DaemonLauncher.stop(DaemonLauncher.java:154)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.tanukisoftware.wrapper.WrapperManager.privilegedStopInner(WrapperManager.java:3127)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.tanukisoftware.wrapper.WrapperManager.handleSocket(WrapperManager.java:3768)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.tanukisoftware.wrapper.WrapperManager.run(WrapperManager.java:4158)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2017/05/11 18:15:37 | Caused by: java.lang.IllegalThreadStateException
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at java.lang.ThreadGroup.destroy(ThreadGroup.java:775)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.excalibur.thread.impl.DefaultThreadPool.dispose(DefaultThreadPool.java:76)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.framework.container.ContainerUtil.dispose(ContainerUtil.java:306)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.cornerstone.blocks.threads.AbstractThreadManager.dispose(AbstractThreadManager.java:69)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.framework.container.ContainerUtil.dispose(ContainerUtil.java:306)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	at org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleHelper.shutdown(LifecycleHelper.java:274)
INFO   | jvm 1    | 2017/05/11 18:15:37 | 	... 27 more
INFO   | wrapperp | 2017/05/11 18:15:37 | port 15012 already in use, using port 32000 instead.
STATUS | wrapper  | 2017/05/11 18:15:38 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/05/12 09:47:53 | --> Wrapper Started as Service
STATUS | wrapper  | 2017/05/12 09:47:54 | Launching a JVM...
INFO   | jvm 1    | 2017/05/12 09:47:55 | Wrapper (Version 3.2.0) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/05/12 09:47:55 | 
INFO   | jvm 1    | 2017/05/12 09:47:55 | 
INFO   | jvm 1    | 2017/05/12 09:47:55 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2017/05/12 09:47:55 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2017/05/12 09:47:55 |           could not be loaded:
INFO   | jvm 1    | 2017/05/12 09:47:55 |             D:\com\james\bin\.\wrapper.dll
INFO   | jvm 1    | 2017/05/12 09:47:55 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2017/05/12 09:47:55 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2017/05/12 09:47:55 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2017/05/12 09:47:55 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2017/05/12 09:47:55 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2017/05/12 09:47:55 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2017/05/12 09:47:55 | 
